Monday/Poniedziałek,30.11.15,,,,,"3,67",,,,,6 800,5 300,,,,,,6 800,5 300,,,,,,,,,,,,
Tuesday/Wtorek,01.12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday/Środa,02.12.15,,,,,"4,0",,,,,9 300,4 800,,,,,,9 300,4 800,,,,,,,,,,,,
Thursday/Czwartek,03.12.15,,,,,"3,97",,,,,8 600,3 300,,,,,,8 600,3 300,,766,,,,,,,,,,
Friday/Piątek,04.12.15,,,,,"3,94",,,,,10 290,3 500,,,,,,10 290,3 500,,,,,,,,,,,,
Saturday/Sobota,05.12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,06.12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,07.12.15,,,,,"4,31",,,,,7 700,2 600,,,,,,7 700,2 600,,,,,,,,,,,,
Tuesday/Wtorek,08.12.15,,,,,"4,60",,,,,6 800,2 600,,,,,,6 800,2 600,,,,,80,,"4,2",10,,"12,5","5,93",
Wednesday/Środa,09.12.15,,,,,"4,92",,,,,6 590,2 700,,,,,,6 590,2 700,,,,,75,"3,9","6,9",2,"1,0","17,3","7,63",
Thursday/Czwartek,10.12.15,,,,,"4,18",,,,,8 300,3 999,,,,,,8 300,3 999,,682,,,65,,"5,6",3,"0,1","19,8","6,20",
Friday/Piątek,11.12.15,,,,,"4,13",,,,,8 700,,,,,,,8 700,,,,,,,,,,,,,
Saturday/Sobota,12.12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,13.12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,14.12.15,,,,,"4,37",,,,,4 300,,,,,,,4 300,,,,,,,,,,,,,
Tuesday/Wtorek,15.12.15,177,,,42,"4,78",,,,,9 400,,,,,,,9 400,,,,,,,,,,,,,
Wednesday/Środa,16.12.15,148,,,63,"4,63",,,,,10 600,,,,,,,10 600,,,,,,,,,,,,,
Thursday/Czwartek,17.12.15,3,,90,80,"4,16",,,,,11 200,,,,,,,11 200,,,,,,,,,,,,,110
Friday/Piątek,18.12.15,18,,78,80,"3,85",,,,,12 800,,,,,,,12 800,,,,,,,,,,,,,
Saturday/Sobota,19.12.15,-85,,65,82,,,,,,15 500,,,,,,,15 500,,,,,,,,,,,,,
Sunday/Niedziela,20.12.15,-86,,65,72,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,21.12.15,190,137,115,62,"4,12",,,1452,,10 600,,,,,,,10 600,,,,,,,,,,,,,
Tuesday/Wtorek,22.12.15,-233,,160,68,"4,17",,,,,8 000,,,,,,,8 000,,,,,,,,,,,,,
Wednesday/Środa,23.12.15,,,,41,"4,10",,,,,6 500,,,,,,,6 500,,,,,,,,,,,,,
Thursday/Czwartek,24.12.15,,,,,"4,20",,,,,7 700,,,,,,,7 700,,,,,,,,,,,,,
Friday/Piątek,25.12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday/Sobota,26.12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,27.12.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,28.12.15,,,,,"4,83",,,,,7 300,,,,,,,7 300,,,,,,,,,,,,,
Tuesday/Wtorek,29.12.15,,,,,"4,58",,,,,5 900,,,,,,,5 900,,,,,,,,,,,,,
Wednesday/Środa,30.12.15,,,,,"4,74",,,,,6 100,,,,,,,6 100,,,,,,,,,,,,,
Thursday/Czwartek,31.12.15,,,,,"5,10",,,,,7 000,,,,,,,7 000,,,,,,,,,,,,,
Friday/Piątek,01.01.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday/Sobota,02.01.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,03.01.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,04.01.16,,,,,"8,71",,,,,5 900,,,,,,,5 900,,,,,,,,,,,,,
Tuesday/Wtorek,05.01.16,,,128,,"5,53",,,,,5 100,,,,,,,5 100,,,,,,,,,,,,,
Wednesday/Środa,06.01.16,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday/Czwartek,07.01.16,,,65,,"4,40",,,,,12 100,,,,1 333,,,12 100,,"1,3",1 574,,,43,"0,0","13,4",2,,"14,1","15,10",233
Friday/Piątek,08.01.16,,,112,,"4,63",,,,,14 300,,,,,,,14 300,,,,,,,,,,,,,
Saturday/Sobota,09.01.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,10.01.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,11.01.16,,,306,,"5,80",,,,,6 400,,,,,,,6 400,,,,,,,,,,,,,
Tuesday/Wtorek,12.01.16,,188,202,,"4,66",,,2670,,14 200,,,,,,,14 200,,,,,,,,,,,"15,5",,
Wednesday/Środa,13.01.16,,227,206,,"4,36",,,2974,,13 100,,,,,,,13 100,,,2 033,,,33,,"1,3",1,,"14,9","11,00",252
Thursday/Czwartek,14.01.16,,175,152,,"4,32",,,2118,,12 100,,,,,,,12 100,,,,,,,,,,,,,
Friday/Piątek,15.01.16,,119,189,,"4,23",,,1404,,11 800,,,,,,,11 800,,,,,,,,,,,,,
Saturday/Sobota,16.01.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,17.01.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monday/Poniedziałek,18.01.16,,228,170,,"4,69",,,2531,,11 100,,,,,,,11 100,,,,,,,,,,,,,
Tuesday/Wtorek,19.01.16,,268,250,,"4,80",,,2144,448,8 000,,,,1 670,,,8 000,,"1,7",1 448,,,4,,"1,1",1,"0,2","8,6","6,00",168
Wednesday/Środa,20.01.16,263,197,200,81,"4,69",,,1852,473,9 400,,,,2 400,,,9 400,,"2,4",1 339,,,9,,"1,2",4,"0,3","10,2","6,00",144
Thursday/Czwartek,21.01.16,202,158,206,88,"4,32",,,2054,348,13 000,,,,2 200,,,13 000,,"2,2",1 536,,,98,,"0,6",3,"0,4","11,8","7,60",137
Friday/Piątek,22.01.16,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday/Sobota,23.01.16,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunday/Niedziela,24.01.16,46,123,165,65,,,,,,,,,,,,,,,,,,,,,,,,,,
