Monday/Poniedziałek,30.11.15,"7,06",,,,2 500,,#N/D,18,"0,30",,,,,
Tuesday/Wtorek,01.12.15,,,,,,,#N/D,,#N/D,,,,,
Wednesday/Środa,02.12.15,"7,01",,819,723,1 300,975,"0,75",22,"0,37",,,,,
Thursday/Czwartek,03.12.15,"7,11",,1 092,746,1 600,,#N/D,24,"0,40",,,,,
Friday/Piątek,04.12.15,"7,15",,,119,1 300,,#N/D,29,"0,48",,,,,
Saturday/Sobota,05.12.15,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,06.12.15,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,07.12.15,"7,20",,2 600,110,2 000,,#N/D,17,"0,28",,,,,
Tuesday/Wtorek,08.12.15,"7,02",,2 900,115,2 000,,#N/D,32,"0,53",,,,,
Wednesday/Środa,09.12.15,"6,79",,3 000,,2 000,,#N/D,26,"0,43",,,,,
Thursday/Czwartek,10.12.15,"7,17",,7 600,,2 500,,#N/D,42,"0,70",,181,27,60,5
Friday/Piątek,11.12.15,"6,99",,3 700,,2 200,,#N/D,30,"0,50",,,,,
Saturday/Sobota,12.12.15,,,,,,,#N/D,12,"0,20",,,,,
Sunday/Niedziela,13.12.15,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,14.12.15,"7,09",,,,2 100,,#N/D,21,"0,35",,,,,
Tuesday/Wtorek,15.12.15,"7,38",,,,,,#N/D,24,"0,40",,,,,
Wednesday/Środa,16.12.15,,,,,,,#N/D,,#N/D,,,,,
Thursday/Czwartek,17.12.15,"6,79",,3 500,,1 500,,#N/D,54,"0,90",,,,,
Friday/Piątek,18.12.15,"6,92",,,,1 800,,#N/D,29,"0,48",,,,,
Saturday/Sobota,19.12.15,,,,,2 500,,#N/D,,#N/D,,,,,
Sunday/Niedziela,20.12.15,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,21.12.15,"7,03",,,,2 700,,#N/D,19,"0,32",,,,,
Tuesday/Wtorek,22.12.15,,,,,2 200,,#N/D,,#N/D,,,,,
Wednesday/Środa,23.12.15,"6,87",,,,2 500,,#N/D,26,"0,43",,,,,
Thursday/Czwartek,24.12.15,"6,84",,,,3 500,,#N/D,,#N/D,,,,,
Friday/Piątek,25.12.15,,,,,,,#N/D,,#N/D,,,,,
Saturday/Sobota,26.12.15,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,27.12.15,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,28.12.15,"6,84",,,,2 600,,#N/D,32,"0,53",,,,,
Tuesday/Wtorek,29.12.15,"6,86",,,,2 550,,#N/D,30,"0,50",,,,,
Wednesday/Środa,30.12.15,"6,82",,,,2 400,,#N/D,57,"0,95",,,,,
Thursday/Czwartek,31.12.15,,,,,,,#N/D,,#N/D,,,,,
Friday/Piątek,01.01.16,,,,,,,#N/D,,#N/D,,,,,
Saturday/Sobota,02.01.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,03.01.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,04.01.16,"6,97",,,,3 000,,#N/D,32,"0,53",,,,,
Tuesday/Wtorek,05.01.16,"6,87",,,,3 000,,#N/D,30,"0,50",,,,,
Wednesday/Środa,06.01.16,,,,,,,#N/D,,#N/D,,,,,
Thursday/Czwartek,07.01.16,"6,56",,4 300,,3 000,,#N/D,46,"0,77",,38,32,10,10
Friday/Piątek,08.01.16,"6,48",,,,2 500,,#N/D,36,"0,60",,,,,
Saturday/Sobota,09.01.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,10.01.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,11.01.16,"7,07",,,,2 500,,#N/D,22,"0,37",,,,,
Tuesday/Wtorek,12.01.16,"6,87",,,,"2 500,0",,#N/D,87,,,,,8,
Wednesday/Środa,13.01.16,"7,06",,5 000,,3 000,,#N/D,37,"0,62",,25,22,9,8
Thursday/Czwartek,14.01.16,"7,00",,,,3 000,,#N/D,39,"0,65",,,,,
Friday/Piątek,15.01.16,"6,91",,,,3 000,,#N/D,54,"0,90",,,,,
Saturday/Sobota,16.01.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,17.01.16,,,,,,,#N/D,,#N/D,,,,,
Monday/Poniedziałek,18.01.16,"6,99",,,,3 000,,#N/D,44,"0,73",,,,,
Tuesday/Wtorek,19.01.16,"6,98",,7 100,,2 500,,#N/D,30,"0,50",,21,11,7,7
Wednesday/Środa,20.01.16,"6,87",,2 700,,2 600,,#N/D,43,"0,72",,215,9,8,7
Thursday/Czwartek,21.01.16,"6,88",,5 200,,2 600,,#N/D,90,"1,50",,230,8,8,7
Friday/Piątek,22.01.16,,,,,,,#N/D,,#N/D,,,,,
Saturday/Sobota,23.01.16,,,,,,,#N/D,,#N/D,,,,,
Sunday/Niedziela,24.01.16,,,,,,,#N/D,,#N/D,,,,,
